Pais,Departamento,Municipio
Colombia,Magdalena,Pijiño Del Carmen
Colombia,Magdalena,Pivijay
Colombia,Magdalena,Plato
Colombia,Magdalena,Puebloviejo
Colombia,Magdalena,Remolino
Colombia,Magdalena,Sabanas De San Ángel
Colombia,Magdalena,Salamina
Colombia,Magdalena,San Sebastián De Buenavista
Colombia,Magdalena,San Zenón
Colombia,Magdalena,Santa Ana
Colombia,Magdalena,Santa Bárbara De Pinto
Colombia,Magdalena,Sitionuevo
Colombia,Magdalena,Tenerife
Colombia,Magdalena,Zapayán
Colombia,Magdalena,Zona Bananera
Colombia,Meta,Villavicencio
Colombia,Meta,Acacías
Colombia,Meta,Barranca De Upía
Colombia,Meta,Cabuyaro
Colombia,Meta,Castilla La Nueva
Colombia,Meta,Cubarral
Colombia,Meta,Cumaral
Colombia,Meta,El Calvario
Colombia,Meta,El Castillo
Colombia,Meta,El Dorado
Colombia,Meta,Fuentedeoro
Colombia,Meta,Granada
Colombia,Meta,Guamal
Colombia,Meta,Mapiripán
Colombia,Meta,Mesetas
Colombia,Meta,La Macarena
Colombia,Meta,Uribe
Colombia,Meta,Lejanías
Colombia,Meta,Puerto Concordia
Colombia,Meta,Puerto Gaitán
Colombia,Meta,Puerto López
Colombia,Meta,Puerto Lleras
Colombia,Meta,Puerto Rico
Colombia,Meta,Restrepo
Colombia,Meta,San Carlos De Guaroa
Colombia,Meta,San Juan De Arama
Colombia,Meta,San Juanito
Colombia,Meta,San Martín
Colombia,Meta,Vistahermosa
Colombia,Nariño,Pasto
Colombia,Nariño,Albán
Colombia,Nariño,Aldana
Colombia,Nariño,Ancuyá
Colombia,Nariño,Arboleda
Colombia,Nariño,Barbacoas
Colombia,Nariño,Belén
Colombia,Nariño,Buesaco
Colombia,Nariño,Colón
Colombia,Nariño,Consacá
Colombia,Nariño,Contadero
Colombia,Nariño,Córdoba
Colombia,Nariño,Cuaspúd
Colombia,Nariño,Cumbal
Colombia,Nariño,Cumbitara
Colombia,Nariño,Chachagüí
Colombia,Nariño,El Charco
Colombia,Nariño,El Peñol
Colombia,Nariño,El Rosario
Colombia,Nariño,El Tablón De Gómez
Colombia,Nariño,El Tambo
Colombia,Nariño,Funes
Colombia,Nariño,Guachucal
Colombia,Nariño,Guaitarilla
Colombia,Nariño,Gualmatán
Colombia,Nariño,Iles
Colombia,Nariño,Imués
Colombia,Nariño,Ipiales
Colombia,Nariño,La Cruz
Colombia,Nariño,La Florida
Colombia,Nariño,La Llanada
Colombia,Nariño,La Tola
Colombia,Nariño,La Unión
Colombia,Nariño,Leiva
Colombia,Nariño,Linares
Colombia,Nariño,Los Andes
Colombia,Nariño,Magüí
Colombia,Nariño,Mallama
Colombia,Nariño,Mosquera
Colombia,Nariño,Nariño
Colombia,Nariño,Olaya Herrera
Colombia,Nariño,Ospina
Colombia,Nariño,Francisco Pizarro
Colombia,Nariño,Policarpa
Colombia,Nariño,Potosí
Colombia,Nariño,Providencia
Colombia,Nariño,Puerres
Colombia,Nariño,Pupiales
Colombia,Nariño,Ricaurte
Colombia,Nariño,Roberto Payán
Colombia,Nariño,Samaniego
Colombia,Nariño,Sandoná
Colombia,Nariño,San Bernardo
Colombia,Nariño,San Lorenzo
Colombia,Nariño,San Pablo
Colombia,Nariño,San Pedro De Cartago
Colombia,Nariño,Santa Bárbara
Colombia,Nariño,Santacruz
Colombia,Nariño,Sapuyes
Colombia,Nariño,Taminango
Colombia,Nariño,Tangua
Colombia,Nariño,San Andrés De Tumaco
Colombia,Nariño,Túquerres
Colombia,Nariño,Yacuanquer
Colombia,Norte De Santander,Cúcuta
Colombia,Norte De Santander,Ábrego
Colombia,Norte De Santander,Arboledas
Colombia,Norte De Santander,Bochalema
Colombia,Norte De Santander,Bucarasica
Colombia,Norte De Santander,Cácota
Colombia,Norte De Santander,Cáchira
Colombia,Norte De Santander,Chinácota
Colombia,Norte De Santander,Chitagá
Colombia,Norte De Santander,Convención
Colombia,Norte De Santander,Cucutilla
Colombia,Norte De Santander,Durania
Colombia,Norte De Santander,El Carmen
Colombia,Norte De Santander,El Tarra
Colombia,Norte De Santander,El Zulia
Colombia,Norte De Santander,Gramalote
Colombia,Norte De Santander,Hacarí
Colombia,Norte De Santander,Herrán
Colombia,Norte De Santander,Labateca
Colombia,Norte De Santander,La Esperanza
Colombia,Norte De Santander,La Playa
Colombia,Norte De Santander,Los Patios
Colombia,Norte De Santander,Lourdes
Colombia,Norte De Santander,Mutiscua
Colombia,Norte De Santander,Ocaña
